original_filename,final_filename,figure_number,caption_or_description,status,notes
batch 13/u6_1_from_ch_26_16_human_eye_cornea_retina_lens_fovea_blind_spot.png,u6_1_from_ch_26_16_human_eye_cornea_retina_lens_fovea_blind_spot.png,Figure 26.16,The human eye.,included,
batch 13/u6_1_from_ch_26_17_blind_spot_experiment_dot_and_x.png,u6_1_from_ch_26_17_blind_spot_experiment_dot_and_x.png,Figure 26.17,The blind-spot experiment.,included,
,,Figure 26.18,Magnified view of the rods and cones in the human eye.,omitted_no_capture,Visible in PDF; no matching captured image supplied.
batch 13/u6_1_from_ch_26_19_peripheral_vision_detects_motion_not_color.png,u6_1_from_ch_26_19_peripheral_vision_detects_motion_not_color.png,Figure 26.19,"Peripheral vision detects motion, not color.",included,
batch 13/u6_1_from_ch_26_20_pupil_size_depends_on_mood.png,u6_1_from_ch_26_20_pupil_size_depends_on_mood.png,Figure 26.20,The size of your pupils depends on your mood.,included,
batch 13/u6_1_from_ch_26_21_lateral_inhibition_equal_brightness_rectangles.png,u6_1_from_ch_26_21_lateral_inhibition_equal_brightness_rectangles.png,Figure 26.21,Both rectangles are equally bright.,included,
batch 13/u6_1_from_ch_26_22_brightness_levels_graph_for_lateral_inhibition.png,u6_1_from_ch_26_22_brightness_levels_graph_for_lateral_inhibition.png,Figure 26.22,Graph of brightness levels for Figure 26.21.,included,
batch 13/u6_1_from_ch_26_23_optical_illusion_slanted_line_broken.png,u6_1_from_ch_26_23_optical_illusion_slanted_line_broken.png,Figure 26.23,Optical illusion: slanted line broken?,included,Supplied as one of eight separate captured files for Figure 26.23.
batch 13/u6_1_from_ch_26_23_optical_illusion_dashes_shorter.png,u6_1_from_ch_26_23_optical_illusion_dashes_shorter.png,Figure 26.23,Optical illusion: dashes on right shorter?,included,Supplied as one of eight separate captured files for Figure 26.23.
batch 13/u6_1_from_ch_26_23_optical_illusion_hermann_grid_black_dots.png,u6_1_from_ch_26_23_optical_illusion_hermann_grid_black_dots.png,Figure 26.23,Optical illusion: count black dots?,included,Supplied as one of eight separate captured files for Figure 26.23.
batch 13/u6_1_from_ch_26_23_optical_illusion_impossible_shop_object.png,u6_1_from_ch_26_23_optical_illusion_impossible_shop_object.png,Figure 26.23,Optical illusion: impossible shop object.,included,Supplied as one of eight separate captured files for Figure 26.23.
batch 13/u6_1_from_ch_26_23_optical_illusion_parallel_vertical_lines.png,u6_1_from_ch_26_23_optical_illusion_parallel_vertical_lines.png,Figure 26.23,Optical illusion: vertical lines parallel?,included,Supplied as one of eight separate captured files for Figure 26.23.
batch 13/u6_1_from_ch_26_23_optical_illusion_hat_height_vs_brim_width.png,u6_1_from_ch_26_23_optical_illusion_hat_height_vs_brim_width.png,Figure 26.23,Optical illusion: hat height vs brim width.,included,Supplied as one of eight separate captured files for Figure 26.23.
batch 13/u6_1_from_ch_26_23_optical_illusion_paris_in_the_spring_sign.png,u6_1_from_ch_26_23_optical_illusion_paris_in_the_spring_sign.png,Figure 26.23,Optical illusion: Paris in the spring sign.,included,Supplied as one of eight separate captured files for Figure 26.23.
batch 13/u6_1_from_ch_26_23_optical_illusion_crooked_rows_tiles.png,u6_1_from_ch_26_23_optical_illusion_crooked_rows_tiles.png,Figure 26.23,Optical illusion: crooked rows of tiles.,included,Supplied as one of eight separate captured files for Figure 26.23.
