original_filename,final_filename,figure_number,caption_or_description,status,notes
batch 18/u7_2_from_ch_23_pp_lemon_battery_copper_wire_paper_clip.png,u7_2_from_ch_23_pp_lemon_battery_copper_wire_paper_clip.png,review_34,Question 34 citrus cell / lemon cell sketch.,included,Captured image supplied in archive and used in Chapter 23 review package.
batch 18/u7_5_from_ch_23_pp_single_bulb_battery_connection_paths_a_b_c.png,u7_5_from_ch_23_pp_single_bulb_battery_connection_paths_a_b_c.png,review_52,Question 52 circuits for ranking identical-bulb brightness.,included,Captured image supplied in archive and used in Chapter 23 review package.
batch 18/u7_5_from_ch_23_pp_parallel_bulbs_ammeter_positions_a_b_c.png,u7_5_from_ch_23_pp_parallel_bulbs_ammeter_positions_a_b_c.png,review_53,Question 53 ammeter positions in identical-bulb circuits.,included,Captured image supplied in archive and used in Chapter 23 review package.
batch 18/u7_5_from_ch_23_pp_parallel_bulbs_total_current_with_ammeter.png,u7_5_from_ch_23_pp_parallel_bulbs_total_current_with_ammeter.png,review_54,Question 54 ammeter next to battery in parallel-bulb circuits.,included,Captured image supplied in archive and used in Chapter 23 review package.
batch 18/u7_5_from_ch_23_pp_voltmeter_readings_series_parallel_bulbs.png,u7_5_from_ch_23_pp_voltmeter_readings_series_parallel_bulbs.png,review_55,Question 55 voltmeter readings across single bulbs.,included,Captured image supplied in archive and used in Chapter 23 review package.
batch 18/u7_5_from_ch_23_pp_mixed_series_parallel_three_bulb_circuit.png,u7_5_from_ch_23_pp_mixed_series_parallel_three_bulb_circuit.png,review_56,"Question 56 three-part mixed circuit with branches A, B, and C.",included,Captured image supplied in archive and used in Chapter 23 review package.
batch 19/u7_5_from_ch_23_pp_lightbulb_battery_contacts_complete_circuit_cases.png,u7_5_from_ch_23_pp_lightbulb_battery_contacts_complete_circuit_cases.png,review_63,Question 63 lamp and battery contact arrangements.,included,Captured image supplied in archive and used in Chapter 23 review package.
batch 19/u7_5_from_ch_23_pp_lightbulb_battery_connection_cases_1_to_5.png,u7_5_from_ch_23_pp_lightbulb_battery_connection_cases_1_to_5.png,review_68,Question 68 circuit cases 1 through 5.,included,Captured image supplied in archive and used in Chapter 23 review package.
batch 19/u7_3_from_ch_23_pp_high_resistance_danger_sign.png,u7_3_from_ch_23_pp_high_resistance_danger_sign.png,review_89,Question 89 high-resistance warning sign sketch.,included,Captured image supplied in archive and used in Chapter 23 review package.
batch 19/u7_3_from_ch_23_pp_person_reads_meter_resistance_voltage_current.png,u7_3_from_ch_23_pp_person_reads_meter_resistance_voltage_current.png,review_90,Question 90 person reading household-product label sketch.,included,Captured image supplied in archive and used in Chapter 23 review package.
batch 19/u7_5_from_ch_23_pp_two_bulb_circuit_with_switch_a_b.png,u7_5_from_ch_23_pp_two_bulb_circuit_with_switch_a_b.png,review_97,Question 97 two-bulb circuit with switch.,included,Captured image supplied in archive and used in Chapter 23 review package.
batch 19/u7_5_from_ch_23_pp_three_bulb_circuit_brightness_a_b_c.png,u7_5_from_ch_23_pp_three_bulb_circuit_brightness_a_b_c.png,review_99,Question 99 three-bulb circuit brightness comparison.,included,Captured image supplied in archive and used in Chapter 23 review package.
batch 19/u7_5_from_ch_23_pp_three_bulb_circuit_compare_connection_paths.png,u7_5_from_ch_23_pp_three_bulb_circuit_compare_connection_paths.png,review_106,Question 106 three circuits for equivalence comparison.,included,Captured image supplied in archive and used in Chapter 23 review package.
batch 18/u7_5_from_ch_23_19_household_parallel_circuit_overload_current_sum.png,u7_5_from_ch_23_19_household_parallel_circuit_overload_current_sum.png,Figure 23.19,Figure 23.19 referenced by Chapter 23 review Question 107.,included,Captured image supplied in archive and used in Chapter 23 review package.
