original_filename,final_filename,figure_number,caption_or_description,status,notes
batch 5/u3_4_from_ch_5_21_dog_leash_force_components_fx_fy.png,u3_4_from_ch_5_21_dog_leash_force_components_fx_fy.png,Figure 5.21,The force F that Nellie exerts on the sled has a horizontal component Fx and a vertical component Fy. (Not shown are other forces on the sled.),included,Visual match is strong.
batch 5/u3_4_from_ch_5_22_vector_v_construction_three_panels.png,u3_4_from_ch_5_22_vector_v_construction_three_panels.png,Figure 5.22,Construction of the vertical and horizontal components of a vector.,included,Visual match is strong.
batch 5/u3_4_from_ch_5_pp_checkpoint_two_vectors_angle_resolution.png,u3_4_from_ch_5_pp_checkpoint_two_vectors_angle_resolution.png,Check Point,Two vectors for resolving into horizontal and vertical components.,included,Unnumbered Check Point image that belongs to Section 5.4.
batch 5/u3_4_from_ch_5_23_skier_normal_force_slope_abc.png,u3_4_from_ch_5_23_skier_normal_force_slope_abc.png,Figure 5.23,"(a) Nellie Newton presses against the surface, mg (action), and the surface presses on Nellie, N (reaction). So mg and N are equal and opposite. (b) Nellie presses with less force against the inclined surface, so in action–reaction fashion, the normal force N is correspondingly smaller. (c) The component of mg perpendicular to the sloped surface has the same magnitude as N; the component of mg parallel to the surface provides acceleration.",included,Visual match is strong.
batch 5/u3_4_from_ch_5_24_block_on_incline_normal_force_decreasing.png,u3_4_from_ch_5_24_block_on_incline_normal_force_decreasing.png,Figure 5.24,"As the incline steepens, the normal force N on a block of ice diminishes, and N is zero when the incline is vertical.",included,Visual match is strong.
batch 5/u3_4_from_ch_5_25_shoe_on_incline_friction_normal_abc.png,u3_4_from_ch_5_25_shoe_on_incline_friction_normal_abc.png,Figure 5.25,"(a) On friction-free ice, only mg and N act on the shoe. (b) On the wooden board, a force of friction f is present. (c) At equilibrium, the resultant of N and mg is equal and opposite to f.",included,Visual match is strong.
batch 5/u3_4_from_ch_5_26_monkey_mo_equilibrium_three_forces.png,u3_4_from_ch_5_26_monkey_mo_equilibrium_three_forces.png,Figure 5.26,Monkey Mo and the three forces that provide equilibrium.,included,Visual match is strong.
batch 5/u3_4_from_ch_5_27_tossed_stone_velocity_components_parabola.png,u3_4_from_ch_5_27_tossed_stone_velocity_components_parabola.png,Figure 5.27,The horizontal and vertical components of a tossed stone’s velocity.,included,Visual match is strong.
batch 5/u3_4_from_ch_5_28_geese_v_formation_aerodynamic_lift.png,u3_4_from_ch_5_28_geese_v_formation_aerodynamic_lift.png,Figure 5.28,"Geese fly in a V formation because air pushed downward at the tips of their wings swirls upward, creating an updraft that is strongest off to the side of the bird.",unused_not_in_section,"Captured image belongs to Section 5.5/Chapter 5 Review, not Section 5.4."
batch 6/u3_4_from_ch_5_pp_stone_sliding_frictionless_incline.png,u3_4_from_ch_5_pp_stone_sliding_frictionless_incline.png,Chapter 5 Review,Stone sliding on frictionless incline.,unused_not_in_section,"Captured practice/review image, not strict Section 5.4 body."
batch 6/u3_4_from_ch_5_pp_stone_block_on_incline_two_normals.png,u3_4_from_ch_5_pp_stone_block_on_incline_two_normals.png,Chapter 5 Review,Stone and block on incline with normal forces.,unused_not_in_section,"Captured practice/review image, not strict Section 5.4 body."
