original_filename,final_filename,figure_number,caption_or_description,status,notes
batch 9/u4_3_from_ch_7_pp_rank_vehicles_momentum_kinetic_energy_work.png,u4_3_from_ch_7_pp_rank_vehicles_momentum_kinetic_energy_work.png,Think and Rank 51,"Vehicles A, B, and C with different masses and speeds for ranking momentum, kinetic energy, and work.",included,Copied from supplied captured image archive.
batch 9/u4_3_from_ch_7_pp_rank_ball_track_momentum_ke_pe_points_a_to_d.png,u4_3_from_ch_7_pp_rank_ball_track_momentum_ke_pe_points_a_to_d.png,Think and Rank 52,"Ball rolling on a metal track with points A, B, C, and D for ranking momentum, kinetic energy, and potential energy.",included,Copied from supplied captured image archive.
batch 9/u4_4_from_ch_7_pp_roller_coaster_rank_speed_ke_pe_points_a_to_e.png,u4_4_from_ch_7_pp_roller_coaster_rank_speed_ke_pe_points_a_to_e.png,Think and Rank 53,"Roller coaster path with points A through E for ranking speed, kinetic energy, and potential energy.",included,Copied from supplied captured image archive.
batch 9/u4_4_from_ch_7_pp_rank_pulley_scale_readings_no_friction.png,u4_4_from_ch_7_pp_rank_pulley_scale_readings_no_friction.png,Think and Rank 54,"Pulley and scale-reading cases A, B, and C with friction ignored.",included,Copied from supplied captured image archive.
batch 9/u4_4_from_ch_7_pp_pendulum_bob_released_from_nose_energy_conservation.png,u4_4_from_ch_7_pp_pendulum_bob_released_from_nose_energy_conservation.png,Think and Explain 69,Instructor releasing a pendulum bob from his nose to demonstrate energy conservation.,included,Copied from supplied captured image archive.
batch 9/u4_4_from_ch_7_pp_roller_coaster_design_energy_conservation.png,u4_4_from_ch_7_pp_roller_coaster_design_energy_conservation.png,Think and Explain 81,Roller coaster sketch for discussing design in terms of conservation of energy.,included,Copied from supplied captured image archive.
batch 9/u4_4_from_ch_7_pp_identical_balls_tracks_a_b_same_speed.png,u4_4_from_ch_7_pp_identical_balls_tracks_a_b_same_speed.png,Think and Discuss 100,Two identical balls released from rest on tracks A and B.,included,Copied from supplied captured image archive.
batch 9/u4_4_from_ch_7_pp_sliding_object_earth_curvature_constant_velocity.png,u4_4_from_ch_7_pp_sliding_object_earth_curvature_constant_velocity.png,Think and Discuss 102,"Object sliding on an infinite frictionless plane tangent to Earth, with speeds less than escape velocity.",included,Copied from supplied captured image archive.
batch 9/u4_4_from_ch_7_pp_pulley_system_blocks_a_b_mass_relationship.png,u4_4_from_ch_7_pp_pulley_system_blocks_a_b_mass_relationship.png,Think and Discuss 112,Pulley system with block A and block B for discussing the mass relationship.,included,Copied from supplied captured image archive.
batch 10/u4_4_from_ch_7_pp_bowling_ball_gravity_component_work_on_incline.png,u4_4_from_ch_7_pp_bowling_ball_gravity_component_work_on_incline.png,Think and Discuss 117,Bowling ball on a level surface and an incline showing a gravitational force component parallel to the incline.,included,Copied from supplied captured image archive.
batch 9/u4_4_from_ch_7_pp_pendulum_tension_gravity_work_components.png,u4_4_from_ch_7_pp_pendulum_tension_gravity_work_components.png,Think and Discuss 118,Pendulum bob with tension and gravitational force vectors.,included,Copied from supplied captured image archive.
,,Think and Do 27,Basketball and tennis ball drop photograph/illustration.,omitted_no_capture,No matching captured image was found in the supplied archive.
,,Plug and Chug / review photo,Small basketball-related photo on the Plug and Chug page.,omitted_no_capture,No matching captured image was found in the supplied archive.
,,Think and Solve 48,Hydraulic-machine sketch beside the piston question.,omitted_no_capture,No matching captured image was found in the supplied archive.
,,Think and Discuss 120,Swinging-balls apparatus / Newton cradle image.,omitted_no_capture,No matching captured image was found in the supplied archive.
batch 20/u4_4_from_ch_7_17_car_jack_lever_force_distance_work_output.png,,,Captured Chapter 7 image not used in this review package.,unused_not_in_review,"Captured file belongs to another Chapter 7 section or prior extraction, not this review package."
batch 8/u4_3_from_ch_7_11_pendulum_swings_to_same_height_with_peg.png,,,Captured Chapter 7 image not used in this review package.,unused_not_in_review,"Captured file belongs to another Chapter 7 section or prior extraction, not this review package."
batch 8/u4_3_from_ch_7_1_lifting_same_load_twice_height_twice_work.png,,,Captured Chapter 7 image not used in this review package.,unused_not_in_review,"Captured file belongs to another Chapter 7 section or prior extraction, not this review package."
batch 8/u4_3_from_ch_7_2_lifting_twice_load_same_height_twice_work.png,,,Captured Chapter 7 image not used in this review package.,unused_not_in_review,"Captured file belongs to another Chapter 7 section or prior extraction, not this review package."
batch 8/u4_3_from_ch_7_4_pushing_wall_no_work_if_wall_does_not_move.png,,,Captured Chapter 7 image not used in this review package.,unused_not_in_review,"Captured file belongs to another Chapter 7 section or prior extraction, not this review package."
batch 8/u4_3_from_ch_7_6_ball_same_potential_energy_different_paths.png,,,Captured Chapter 7 image not used in this review package.,unused_not_in_review,"Captured file belongs to another Chapter 7 section or prior extraction, not this review package."
batch 8/u4_3_from_ch_7_7_pile_driver_potential_energy_to_kinetic_energy.png,,,Captured Chapter 7 image not used in this review package.,unused_not_in_review,"Captured file belongs to another Chapter 7 section or prior extraction, not this review package."
batch 8/u4_3_from_ch_7_8_same_work_lift_block_directly_or_up_ramp.png,,,Captured Chapter 7 image not used in this review package.,unused_not_in_review,"Captured file belongs to another Chapter 7 section or prior extraction, not this review package."
