original_filename,final_filename,figure_number,caption_or_description,status,notes
batch 19/u8_2_from_ch_24_10_iron_filings_fields_wire_loop_and_coil.png,u8_2_from_ch_24_10_iron_filings_fields_wire_loop_and_coil.png,24.10,"Iron filings sprinkled on paper reveal the magnetic field configurations about (a) a current-carrying wire, (b) a current-carrying loop, and (c) a current-carrying coil of loops.",included,Included because the figure and caption appear on the page where Section 24.6 begins; it is also referenced by Section 24.5.
batch 19/u8_2_from_ch_24_12_permanent_magnet_levitates_above_superconductor.png,u8_2_from_ch_24_12_permanent_magnet_levitates_above_superconductor.png,24.12,A permanent magnet levitates above a superconductor because its magnetic field cannot penetrate the superconducting material.,included,Included for the Superconducting Electromagnets subsection in Section 24.6.
,,24.11,A magnetically levitated vehicle--a magplane.,omitted_no_capture,"Figure 24.11 appears in Section 24.6, but no matching captured image was found in the supplied archive."
batch 19/u8_2_from_ch_24_13_electron_beam_deflected_by_magnetic_field.png,,24.13,A beam of electrons is deflected by a magnetic field.,unused_not_in_section,"Captured image belongs to Section 24.7 Magnetic Forces, not Section 24.6."
batch 19/u8_2_from_ch_24_14_earth_magnetic_field_deflects_cosmic_rays.png,,24.14,The magnetic field of Earth deflects many charged particles that make up cosmic radiation.,unused_not_in_section,"Captured image belongs to Section 24.7 Magnetic Forces, not Section 24.6."
batch 20/u8_2_from_ch_24_15_current_carrying_wire_force_in_magnetic_field.png,,24.15,A current-carrying wire experiences a force in a magnetic field.,unused_not_in_section,"Captured image belongs to Section 24.7 Magnetic Forces, not Section 24.6."
batch 20/u8_2_from_ch_24_16_simple_galvanometer_compass_in_coil.png,,24.16,A very simple galvanometer.,unused_not_in_section,"Captured image belongs to Section 24.7 Magnetic Forces, not Section 24.6."
batch 20/u8_2_from_ch_24_17_common_galvanometer_design.png,,24.17,A common galvanometer design.,unused_not_in_section,"Captured image belongs to Section 24.7 Magnetic Forces, not Section 24.6."
batch 20/u8_2_from_ch_24_18_ammeter_and_voltmeter_galvanometers.png,,24.18,Ammeter and voltmeter galvanometers.,unused_not_in_section,"Captured image belongs to Section 24.7 Magnetic Forces, not Section 24.6."
batch 20/u8_2_from_ch_24_19_simplified_electric_motor_rotating_loop.png,,24.19,Simplified electric motor rotating loop.,unused_not_in_section,"Captured image belongs to Section 24.7 Magnetic Forces, not Section 24.6."
