original_filename,final_filename,figure_number,caption_or_description,status,notes
u3_5_from_ch_10_2_ball_rolled_horizontal_constant_velocity.png,figure_10_1a_horizontal_motion_constant_velocity.png,Figure 10.1,Left: horizontal motion with constant velocity.,included,Used as the left half of Figure 10.1.
u3_5_from_ch_10_1_ball_dropped_free_fall_increasing_spacing.png,figure_10_1b_vertical_free_fall_increasing_spacing.png,Figure 10.1,Right: dropped ball accelerates downward.,included,Used as the right half of Figure 10.1.
u3_5_from_ch_10_pp_tossed_stone_velocity_components_vx_vy.png,figure_10_2_stone_velocity_components.png,Figure 10.2,Vertical and horizontal components of a stone velocity.,included,"Filename says pp, but visual matches textbook Figure 10.2."
u3_5_from_ch_10_3_projectile_superposition_four_panels.png,figure_10_3_projectile_superposition_four_panels.png,Figure 10.3,Simulated photographs of moving ball illuminated with strobe light.,included,
u3_5_from_ch_10_4_strobe_photo_dropped_red_projected_yellow.png,figure_10_4_strobe_dropped_vs_projected_balls.png,Figure 10.4,Strobe-light photograph comparing dropped and horizontally projected golf balls.,included,
,,Figure 10.5,Chuck Stone releases a ball near the top of a track; students predict where a can on the floor should be placed.,omitted_no_capture,No matching captured image supplied. Captured file named ch_10_5 is a cannon/tower drawing and does not match this textbook figure.
u3_5_from_ch_10_6_person_cliff_projectile_parabola_grid.png,figure_10_6_projectile_parabola_grid.png,Figure 10.6,Curved trajectory combining horizontal and vertical motions.,included,
u3_5_from_ch_10_7_cliff_projectile_two_speeds_panels.png,figure_10_7_upward_downward_launch_same_fall.png,Figure 10.7,Upward and downward launches fall the same distance below ideal paths.,included,
u3_5_from_ch_10_8_cannon_projectile_gravity_drop_5_20_45m.png,figure_10_8_gravity_drop_below_straight_line.png,Figure 10.8,"Projectile falls 5 m, 20 m, and 45 m beneath straight-line path at equal times.",included,
,,Practicing Physics image,Hands-On Dangling Beads illustration.,omitted_no_capture,No matching captured image supplied.
,,Margin photo,Peter Rea with air-powered projectile launcher.,omitted_no_capture,No matching captured image supplied.
u3_5_from_ch_10_9_velocity_vectors_along_path_horizontal_launch.png,figure_10_9_velocity_vectors_horizontal_component_constant.png,Figure 10.9,Velocity vectors along projectile trajectory with changing vertical component and constant horizontal component.,included,
u3_5_from_ch_10_9_velocity_vectors_along_path_angled_launch.png,figure_10_10_steeper_projection_angle_velocity_vectors.png,Figure 10.10,Trajectory for a steeper projection angle.,included,Captured filename says ch_10_9 but visual matches Figure 10.10.
u3_5_from_ch_10_10_projectile_trajectories_multiple_launch_angles.png,figure_10_11_ranges_multiple_projection_angles.png,Figure 10.11,Ranges of projectiles shot at same speed at different projection angles.,included,Captured filename says ch_10_10 but visual matches Figure 10.11.
,,Figure 10.12,"The maximum range would be attained for a ball batted at 45 degrees, but only without air drag.",omitted_no_capture,No matching baseball photo supplied.
u3_5_from_ch_10_11_cannon_actual_vs_ideal_path_air_resistance.png,figure_10_13_air_resistance_actual_vs_ideal_path.png,Figure 10.13,High-speed projectile falls short of idealized parabolic path due to air resistance.,included,Captured filename says ch_10_11 but visual matches Figure 10.13.
u3_5_from_ch_10_14_cannonball_same_speeds_up_and_down.png,figure_10_14_same_speeds_up_and_down.png,Figure 10.14,"Without air drag, speed lost while going up equals speed gained coming down.",included,
u3_5_from_ch_10_15_tower_throw_pitching_speed_5m_drop_20m_range.png,figure_10_15_tower_pitching_speed.png,Figure 10.15,Boy on tower throws ball 20 m downrange with 5 m drop.,included,
,,Chapter 10 opener photo,Tenny Lim / SMAP satellite opener photo.,omitted_no_capture,No matching captured image supplied.
u3_5_from_ch_10_5_cannon_tower_projectile_horizontal_parabola.png,,,,unused_not_in_section,"Not used in strict Section 10.1 body; appears to belong to Section 10.2 or review, or does not match the textbook Figure 10.5 in this PDF."
u3_5_from_ch_10_pp_strobe_photo_dropped_vs_projected_ball.png,,,,unused_not_in_section,"Not used in strict Section 10.1 body; appears to belong to Section 10.2 or review, or does not match the textbook Figure 10.5 in this PDF."
u3_5_from_ch_10_16_ball_any_speed_falls_5m_below_no_gravity_path.png,,,,unused_not_in_section,"Not used in strict Section 10.1 body; appears to belong to Section 10.2 or review, or does not match the textbook Figure 10.5 in this PDF."
u3_5_from_ch_10_17_stone_may_become_satellite_partial_crop.png,,,,unused_not_in_section,"Not used in strict Section 10.1 body; appears to belong to Section 10.2 or review, or does not match the textbook Figure 10.5 in this PDF."
u3_5_from_ch_10_17_stone_thrown_fast_enough_becomes_satellite.png,,,,unused_not_in_section,"Not used in strict Section 10.1 body; appears to belong to Section 10.2 or review, or does not match the textbook Figure 10.5 in this PDF."
u3_5_from_ch_10_18_earth_curvature_8000m_tangent_5m_drop.png,,,,unused_not_in_section,"Not used in strict Section 10.1 body; appears to belong to Section 10.2 or review, or does not match the textbook Figure 10.5 in this PDF."
u3_5_from_ch_10_19_newtons_cannonball_orbit_sketch.png,,,,unused_not_in_section,"Not used in strict Section 10.1 body; appears to belong to Section 10.2 or review, or does not match the textbook Figure 10.5 in this PDF."
