original_filename,final_filename,figure_number,caption_or_description,status,notes
batch 19/u8_2_from_ch_24_13_electron_beam_deflected_by_magnetic_field.png,u8_2_from_ch_24_13_electron_beam_deflected_by_magnetic_field.png,24.13,A beam of electrons is deflected by a magnetic field.,included,Included for the On Moving Charged Particles subsection.
batch 19/u8_2_from_ch_24_14_earth_magnetic_field_deflects_cosmic_rays.png,u8_2_from_ch_24_14_earth_magnetic_field_deflects_cosmic_rays.png,24.14,The magnetic field of Earth deflects many charged particles that make up cosmic radiation.,included,Included for the cosmic-ray discussion in the On Moving Charged Particles subsection.
batch 20/u8_2_from_ch_24_15_current_carrying_wire_force_in_magnetic_field.png,u8_2_from_ch_24_15_current_carrying_wire_force_in_magnetic_field.png,24.15,A current-carrying wire experiences a force in a magnetic field. (Can you see that this is a follow-up of what happens in Figure 24.13?),included,Included for the On Current-Carrying Wires subsection; marked as INTERACTIVE FIGURE in the source.
batch 20/u8_2_from_ch_24_16_simple_galvanometer_compass_in_coil.png,u8_2_from_ch_24_16_simple_galvanometer_compass_in_coil.png,24.16,A very simple galvanometer.,included,Included for the Electric Meters subsection.
batch 20/u8_2_from_ch_24_17_common_galvanometer_design.png,u8_2_from_ch_24_17_common_galvanometer_design.png,24.17,A common galvanometer design.,included,Included for the Electric Meters subsection.
batch 20/u8_2_from_ch_24_18_ammeter_and_voltmeter_galvanometers.png,u8_2_from_ch_24_18_ammeter_and_voltmeter_galvanometers.png,24.18,Both the ammeter and the voltmeter are basically galvanometers. (The electrical resistance of the instrument is made to be very low for the ammeter and very high for the voltmeter.),included,Included for the Electric Meters subsection.
batch 20/u8_2_from_ch_24_19_simplified_electric_motor_rotating_loop.png,u8_2_from_ch_24_19_simplified_electric_motor_rotating_loop.png,24.19,A simplified electric motor.,included,Included for the Electric Motors subsection; marked as INTERACTIVE FIGURE in the source.
batch 20/u8_2_from_ch_24_pp_right_hand_rule_magnetic_force_current_field.png,,24 PP,Right-hand-rule practice/support image.,unused_not_in_section,Captured image appears to be supplemental/problem-solving material rather than a numbered Figure 24.7 body figure; not included in this section body package.
batch 20/u8_1_from_ch_24_20_earth_is_a_magnet_magnetic_field.png,,24.20,Earth is a magnet.,unused_not_in_section,"Captured image belongs to textbook Section 24.8, which is not part of the framework sequence after 24.7."
batch 20/u8_3_from_ch_25_6_generator_mechanical_input_electrical_output.png,,25.6,A simple generator.,unused_not_in_section,"Captured image belongs to the next framework section, 25.3 Generators and Alternating Current."
batch 20/u8_3_from_ch_25_7_generator_effect_moving_wire_magnet_induced_current.png,,25.7,Motor effect and generator effect.,unused_not_in_section,"Captured image belongs to the next framework section, 25.3 Generators and Alternating Current."
batch 20/u8_3_from_ch_25_8_rotating_loop_ac_voltage_cycle.png,,25.8,Rotating loop AC voltage cycle.,unused_not_in_section,"Captured image belongs to the next framework section, 25.3 Generators and Alternating Current."
batch 20/u8_3_from_ch_25_9_steam_turbine_generator_electrical_output.png,,25.9,Steam turbine generator.,unused_not_in_section,"Captured image belongs to Section 25.4, not the next framework Section 25.3."
