original_filename,final_filename,figure_number,caption_or_description,status,notes
batch 8/u4_1_from_ch_6_pp_rank_balls_by_momentum_and_stopping_impulse.png,u4_1_from_ch_6_pp_rank_balls_by_momentum_and_stopping_impulse.png,Think and Rank 39,Four balls with different masses and speeds for ranking momentum and stopping impulse.,included,Included from supplied captured image archive.
batch 8/u4_1_from_ch_6_pp_jogging_jake_flatcar_relative_momentum.png,u4_1_from_ch_6_pp_jogging_jake_flatcar_relative_momentum.png,Think and Rank 40,Jogging Jake running on moving flatcars in four cases.,included,Included from supplied captured image archive.
batch 8/u4_1_from_ch_6_pp_marshall_crates_impulse_change_momentum_final_speed.png,u4_1_from_ch_6_pp_marshall_crates_impulse_change_momentum_final_speed.png,Think and Rank 41,Marshall pushing three crates with different net forces and masses.,included,Included from supplied captured image archive.
batch 8/u4_2_from_ch_6_pp_hungry_fish_lunch_rank_final_speeds.png,u4_2_from_ch_6_pp_hungry_fish_lunch_rank_final_speeds.png,Think and Rank 42,Hungry fish about to swallow small fish in three speed cases.,included,Included from supplied captured image archive.
batch 8/u4_2_from_ch_6_pp_carts_m_and_2m_spring_release_speeds.png,u4_2_from_ch_6_pp_carts_m_and_2m_spring_release_speeds.png,Think and Explain 69,Two carts of masses m and 2m connected by a spring.,included,Included from supplied captured image archive.
batch 8/u4_1_from_ch_6_pp_loose_coupled_train_cars_impulse_delay.png,u4_1_from_ch_6_pp_loose_coupled_train_cars_impulse_delay.png,Think and Discuss 88,Loosely coupled railroad cars with slack between cars.,included,Included from supplied captured image archive.
batch 8/u4_2_from_ch_6_pp_ice_sail_craft_fan_and_sail_internal_momentum.png,u4_2_from_ch_6_pp_ice_sail_craft_fan_and_sail_internal_momentum.png,Think and Discuss 94,Ice sail craft with a skipper using a fan aimed at the sail.,included,Included from supplied captured image archive.
batch 8/u4_2_from_ch_6_pp_freddy_frog_drops_on_moving_skateboard.png,u4_2_from_ch_6_pp_freddy_frog_drops_on_moving_skateboard.png,Think and Discuss 98,Freddy Frog dropping vertically from a tree onto a moving skateboard.,included,Included from supplied captured image archive.
batch 8/u4_2_from_ch_6_pp_astronauts_play_catch_momentum_conservation.png,u4_2_from_ch_6_pp_astronauts_play_catch_momentum_conservation.png,Think and Discuss 100,Three astronauts outside a spaceship playing catch.,included,Included from supplied captured image archive.
,,Think and Do 21,Small billiards/pool illustration beside the momentum-conservation activity.,omitted_no_capture,No matching captured image was found in the supplied archive.
,,Think and Discuss 101,Radiometer sketch for light momentum.,omitted_no_capture,No matching captured image was found in the supplied archive.
batch 8/u4_2_from_ch_6_19_billiard_ball_and_proton_collision_tracks.png,u4_2_from_ch_6_19_billiard_ball_and_proton_collision_tracks.png,Figure 6.19,"Section figure already used in cp_section_6_7, not duplicated in the review package.",unused_not_in_review,Belongs to Section 6.7 or outside strict Chapter 6 Review content.
batch 8/u4_2_from_ch_6_20_falling_firecracker_explosion_momentum_vectors.png,u4_2_from_ch_6_20_falling_firecracker_explosion_momentum_vectors.png,Figure 6.20,Section figure already used in cp_section_6_7 before the Chapter 6 Review text begins.,unused_not_in_review,Belongs to Section 6.7 or outside strict Chapter 6 Review content.
