original_filename,final_filename,figure_number,caption_or_description,status,notes
batch 15/u6_4_from_ch_28_43_lens_as_blocks_and_prisms_converging_diverging.png,u6_4_from_ch_28_43_lens_as_blocks_and_prisms_converging_diverging.png,28.43,A lens may be thought of as a set of blocks and prisms: (a) a converging lens and (b) a diverging lens.,included,
batch 15/u6_4_from_ch_28_44_wavefronts_through_converging_and_diverging_lenses.png,u6_4_from_ch_28_44_wavefronts_through_converging_and_diverging_lenses.png,28.44,"Wavefronts travel more slowly in glass than in air. (a) The waves are retarded more through the center of the lens, and convergence results. (b) The waves are retarded more at the edges, and divergence results.",included,
batch 15/u6_4_from_ch_28_45_converging_lens_focal_points_focal_length_principal_axis.png,u6_4_from_ch_28_45_converging_lens_focal_points_focal_length_principal_axis.png,28.45,Key features of a converging lens.,included,
batch 16/u6_4_from_ch_28_46_water_surface_lenses_pool_bright_dark_caustics.png,u6_4_from_ch_28_46_water_surface_lenses_pool_bright_dark_caustics.png,28.46,"The moving patterns of bright and dark areas at the bottom of the pool result from the uneven surface of the water, which behaves like a blanket of undulating lenses. Just as we see the pool bottom shimmering, a fish looking upward at the Sun would see it shimmering too. Because of similar irregularities in the atmosphere, we see the stars twinkle.",included,
batch 16/u6_4_from_ch_28_pp_pinhole_camera_candle_real_image.png,u6_4_from_ch_28_pp_pinhole_camera_candle_real_image.png,Practicing Physics,Pinhole camera sketch for the Practicing Physics activity.,included,Unnumbered Practicing Physics image in Section 28.7.
batch 16/u6_4_from_ch_28_47_image_formation_no_lens_pinhole_lens.png,u6_4_from_ch_28_47_image_formation_no_lens_pinhole_lens.png,28.47,Image formation. (a) No image appears on the wall because rays from all parts of the object overlap all parts of the wall. (b) A single small opening in a barrier prevents overlapping rays from reaching the wall; a dim upside-down image is formed. (c) A lens converges the rays upon the wall without overlapping; more light makes a brighter image.,included,Interactive figure in source.
batch 16/u6_4_from_ch_28_pp_thin_lens_equation_object_image_distances.png,u6_4_from_ch_28_pp_thin_lens_equation_object_image_distances.png,Footnote 3,"Thin-lens equation diagram showing object distance, image distance, focal length, and real image.",included,Unnumbered footnote diagram in Section 28.7.
batch 16/u6_4_from_ch_28_48_viewing_narrow_and_wide_angle.png,u6_4_from_ch_28_48_viewing_narrow_and_wide_angle.png,28.48,Viewing.,included,
batch 16/u6_4_from_ch_28_49_magnifying_glass_virtual_image_inside_focal_point.png,u6_4_from_ch_28_49_magnifying_glass_virtual_image_inside_focal_point.png,28.49,"When an object is near a converging lens (inside its focal point f), the lens acts as a magnifying glass to produce a virtual image. The image appears larger and farther from the lens than the object.",included,
batch 16/u6_4_from_ch_28_50_converging_lens_real_image_on_wall.png,u6_4_from_ch_28_50_converging_lens_real_image_on_wall.png,28.50,"When an object is far from a converging lens (beyond its focal point), a real upside-down image is formed.",included,
batch 16/u6_4_from_ch_28_51_diverging_lens_virtual_right_side_up_image.png,u6_4_from_ch_28_51_diverging_lens_virtual_right_side_up_image.png,28.51,"A diverging lens forms a virtual, right-side-up image of Jamie and his cat.",included,
batch 16/u6_4_from_ch_28_52_spherical_aberration_lens_edge_focus.png,u6_4_from_ch_28_52_spherical_aberration_lens_edge_focus.png,28.52,Spherical aberration.,unused_not_in_section,"Captured image exists but belongs to Section 28.8, not 28.7."
batch 16/u6_4_from_ch_28_54_chromatic_aberration_red_blue_focus.png,u6_4_from_ch_28_54_chromatic_aberration_red_blue_focus.png,28.54,Chromatic aberration.,unused_not_in_section,"Captured image exists but belongs to Section 28.8, not 28.7."
